2023-03-16 20:51:19,519 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'b3d0ee0c-5c9f-563c-8955-b280b45c9608', 'Date': 'Thu, 16 Mar 2023 09:51:19 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:51:39,549 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6c4dafbb-880d-5257-9f7f-f33760da71f1', 'Date': 'Thu, 16 Mar 2023 09:51:39 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:51:59,575 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6498912b-502c-5f6c-93ca-cda7b8c77f4a', 'Date': 'Thu, 16 Mar 2023 09:51:59 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:52:19,601 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9c8c2634-bdc3-5759-9b31-7ab8553c95b2', 'Date': 'Thu, 16 Mar 2023 09:52:19 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:52:39,627 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c16abada-5d80-5ef8-bdee-e656b49362f0', 'Date': 'Thu, 16 Mar 2023 09:52:39 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:52:59,654 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '7a74ad14-7abf-5681-b06a-f1989398c9a7', 'Date': 'Thu, 16 Mar 2023 09:52:59 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:53:19,682 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '3168c5d3-3c23-59d5-a9d1-995fd51881d7', 'Date': 'Thu, 16 Mar 2023 09:53:19 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:53:39,711 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'e0a05bac-0b80-5371-ba5f-0720e2cf5ebf', 'Date': 'Thu, 16 Mar 2023 09:53:39 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:53:59,740 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '41679ae1-16c5-501f-8a63-c66dffa60e8a', 'Date': 'Thu, 16 Mar 2023 09:53:59 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:54:19,769 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'dfe8cd67-d3b4-5a20-9670-91eb3ac39e36', 'Date': 'Thu, 16 Mar 2023 09:54:19 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
2023-03-16 20:54:39,793 [DEBUG] Response: 200 https://sqs.ap-southeast-2.amazonaws.com/960270787674/7d23b1107e5285bed81b9ab5ecd3be8ebb4136a6b42a21f59ad84d2f02657ccc/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '04bcc4f5-0ccf-5c2e-9ed5-9879e544fa7b', 'Date': 'Thu, 16 Mar 2023 09:54:39 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240'}]
